name,image,price,price change
"Apple iPhone 11, 64GB, Purple - Fully Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/51U8WCTTmCL._AC_UY218_.jpg"" width=""60"">",319,0
"iP13 Pro MAX Unlocked Smartphone, 6.1in 3GB 32GB Face ID Cell Phone Unlocked for Android 6.0, MT6799 10 Core,Dual SIM, 5MP 8MP Dual Camera, 2800mAh Mobile Phone Support 128GB Expandable(White)","<img src=""https://m.media-amazon.com/images/I/71khZqbK1kL._AC_UY218_.jpg"" width=""60"">",106,0
"Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/512nZ7WbW5L._AC_UY218_.jpg"" width=""60"">",179,0
Azumi iPhone 6S 16GB Unlocked ATT Tmobile - Gray,"<img src=""https://m.media-amazon.com/images/I/61YKTWoc7VL._AC_UY218_.jpg"" width=""60"">",100,0
"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/61BUt5ZErdL._AC_UY218_.jpg"" width=""60"">",599,0
"Apple iPhone SE 3rd Gen, 64GB, Midnight - Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/61TOWf11+jL._AC_UY218_.jpg"" width=""60"">",247,0
"Apple iPhone 8, US Version, 128GB, Silver - Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/417sxvx+A2L._AC_UY218_.jpg"" width=""60"">",173,0
"Apple iPhone 12 Pro, 128GB, Graphite - Fully Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/619dKktCioL._AC_UY218_.jpg"" width=""60"">",529,0
"Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/61n+UgO3jrL._AC_UY218_.jpg"" width=""60"">",392,0
"Apple iPhone 13 Pro Max, 512GB, Sierra Blue - Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/51UuPZLMaCL._AC_UY218_.jpg"" width=""60"">",974,0
"Apple iPhone 12 Mini, 128GB, Green - Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/71QsI6eKS5L._AC_UY218_.jpg"" width=""60"">",504,0
"Apple iPhone 12 Pro Max, 128GB, Graphite - Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/61l3+VGfj2L._AC_UY218_.jpg"" width=""60"">",689,0
"iPhone 13 Mini, 256GB, Pink - Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/61F7c4q8TNL._AC_UY218_.jpg"" width=""60"">",658,0
"Apple iPhone 11, 64GB, Yellow - Fully Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/41UNiu7idwL._AC_UY218_.jpg"" width=""60"">",390,0
"Gravastar Wireless Earbuds Sirius P5, Bluetooth 5.2 Headphones ENC Noise Cancelling 40H Playback, Interchangeable Shells Designs, Stereo Sound Earbuds for iPhone & Android (Defense Mecha)","<img src=""https://m.media-amazon.com/images/I/51LONDknNKL._AC_UY218_.jpg"" width=""60"">",79,0
"TracFone BLU View 2 (2022) 4G LTE, 32GB, Sim Card Included, Black - Prepaid Smartphone (Locked)","<img src=""https://m.media-amazon.com/images/I/61qTWOAsIPL._AC_UY218_.jpg"" width=""60"">",29,0
"Temdan for iPhone 14 Case Waterproof,Built-in 9H Tempered Glass Screen Protector [14FT Military Dropproof][IP68 Underwater][Dustproof][Real 360] Full Body Shockproof Protective Case-Black/Clear","<img src=""https://m.media-amazon.com/images/I/71XHGTInB1L._AC_UY218_.jpg"" width=""60"">",31,0
"Apple iPhone 12 Pro Max, 512GB, Graphite - Fully Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/71BiMFOcstL._AC_UY218_.jpg"" width=""60"">",691,0
"Apple iPhone 12 Mini, 128GB, Green - Fully Unlocked (Renewed)","<img src=""https://m.media-amazon.com/images/I/71qqf+0kQPL._AC_UY218_.jpg"" width=""60"">",379,0
"Total by Verizon iPhone 11, 64GB, Black - Prepaid Smartphone (Locked)","<img src=""https://m.media-amazon.com/images/I/41CYvvlV6HL._AC_UY218_.jpg"" width=""60"">",299,0
"Apple iPhone 12 Pro, 512GB, Pacific Blue - Unlocked (Renewed Premium)","<img src=""https://m.media-amazon.com/images/I/712yl2wTDbL._AC_UY218_.jpg"" width=""60"">",748,0
